Word,Frequency,letter0,letter1,letter2,letter3,letter4
disco,7067687,d,i,s,c,o
fatwa,347937,f,a,t,w,a
dungy,161356,d,u,n,g,y
amped,318536,a,m,p,e,d
spews,150306,s,p,e,w,s
veins,2282346,v,e,i,n,s
jacks,2818856,j,a,c,k,s
benes,97606,b,e,n,e,s
ralph,12190683,r,a,l,p,h
cuber,20073,c,u,b,e,r
noles,55380,n,o,l,e,s
spoke,11577917,s,p,o,k,e
angst,1232364,a,n,g,s,t
diked,21369,d,i,k,e,d
wheel,25342937,w,h,e,e,l
machi,293238,m,a,c,h,i
emacs,5697594,e,m,a,c,s
vegas,44810653,v,e,g,a,s
halfa,15118,h,a,l,f,a
melon,1355214,m,e,l,o,n
creep,1811981,c,r,e,e,p
bunny,5730050,b,u,n,n,y
rumps,319557,r,u,m,p,s
galah,17753,g,a,l,a,h
broth,1297117,b,r,o,t,h
bated,65650,b,a,t,e,d
amber,11065507,a,m,b,e,r
expos,1056760,e,x,p,o,s
gulls,485882,g,u,l,l,s
wagyu,19825,w,a,g,y,u
grunt,616546,g,r,u,n,t
harem,435962,h,a,r,e,m
awake,3230337,a,w,a,k,e
sifts,38137,s,i,f,t,s
voter,4905374,v,o,t,e,r
trons,35762,t,r,o,n,s
mobie,24095,m,o,b,i,e
hecks,17000,h,e,c,k,s
savvy,3140230,s,a,v,v,y
naval,8091649,n,a,v,a,l
diane,7081367,d,i,a,n,e
buras,57246,b,u,r,a,s
denim,4737554,d,e,n,i,m
civic,10283668,c,i,v,i,c
thebe,21840,t,h,e,b,e
quirk,444069,q,u,i,r,k
jirga,102021,j,i,r,g,a
lungs,2828099,l,u,n,g,s
horst,775209,h,o,r,s,t
edged,1568009,e,d,g,e,d
shack,2739743,s,h,a,c,k
lords,4862111,l,o,r,d,s
tache,50780,t,a,c,h,e
shrub,1458217,s,h,r,u,b
loach,166557,l,o,a,c,h
growl,461820,g,r,o,w,l
mysid,13917,m,y,s,i,d
yokes,136612,y,o,k,e,s
thief,2970770,t,h,i,e,f
grist,519954,g,r,i,s,t
linny,16703,l,i,n,n,y
anted,16159,a,n,t,e,d
skied,134470,s,k,i,e,d
axels,33994,a,x,e,l,s
reaps,147148,r,e,a,p,s
haunt,985188,h,a,u,n,t
elite,12673836,e,l,i,t,e
leeze,15190,l,e,e,z,e
bacon,5385205,b,a,c,o,n
sarge,1013607,s,a,r,g,e
spork,164168,s,p,o,r,k
walls,14837851,w,a,l,l,s
cubby,220112,c,u,b,b,y
foyer,1042532,f,o,y,e,r
glory,13158826,g,l,o,r,y
chais,18222,c,h,a,i,s
tawny,602308,t,a,w,n,y
nicks,721039,n,i,c,k,s
sties,34650,s,t,i,e,s
ponga,32533,p,o,n,g,a
micht,27736,m,i,c,h,t
kanga,132553,k,a,n,g,a
crepe,768351,c,r,e,p,e
braze,58124,b,r,a,z,e
phial,36526,p,h,i,a,l
gamer,3144985,g,a,m,e,r
cesti,13726,c,e,s,t,i
shoed,27509,s,h,o,e,d
cling,946281,c,l,i,n,g
takis,57486,t,a,k,i,s
tappa,31775,t,a,p,p,a
phone,256643812,p,h,o,n,e
unary,296481,u,n,a,r,y
taken,87019836,t,a,k,e,n
andro,154794,a,n,d,r,o
lakes,14947463,l,a,k,e,s
sitka,578381,s,i,t,k,a
nobby,118253,n,o,b,b,y
musts,66009,m,u,s,t,s
lawer,62934,l,a,w,e,r
gaffe,132748,g,a,f,f,e
infos,1980341,i,n,f,o,s
betes,27006,b,e,t,e,s
ghoul,247064,g,h,o,u,l
lings,63925,l,i,n,g,s
parma,1330679,p,a,r,m,a
fined,1620321,f,i,n,e,d
pubes,229514,p,u,b,e,s
malar,49930,m,a,l,a,r
antas,14611,a,n,t,a,s
swoop,467481,s,w,o,o,p
quest,14258533,q,u,e,s,t
aspro,70422,a,s,p,r,o
newts,89263,n,e,w,t,s
quoit,32350,q,u,o,i,t
tacos,512088,t,a,c,o,s
glued,975384,g,l,u,e,d
cruft,118000,c,r,u,f,t
earnt,26843,e,a,r,n,t
punks,585036,p,u,n,k,s
yobbo,42684,y,o,b,b,o
homos,83610,h,o,m,o,s
aloft,497342,a,l,o,f,t
dormy,22337,d,o,r,m,y
donga,37549,d,o,n,g,a
geest,56760,g,e,e,s,t
inion,20026,i,n,i,o,n
pipes,5966191,p,i,p,e,s
juicy,3778910,j,u,i,c,y
bayou,1397958,b,a,y,o,u
jemmy,35798,j,e,m,m,y
ahold,295977,a,h,o,l,d
hawed,14625,h,a,w,e,d
goofy,1187234,g,o,o,f,y
lutes,103371,l,u,t,e,s
trans,14243681,t,r,a,n,s
oozed,79302,o,o,z,e,d
wadge,13839,w,a,d,g,e
botel,73267,b,o,t,e,l
weeps,282891,w,e,e,p,s
cruse,223824,c,r,u,s,e
ogres,104863,o,g,r,e,s
sabes,89001,s,a,b,e,s
datum,2226219,d,a,t,u,m
conns,39954,c,o,n,n,s
field,135289140,f,i,e,l,d
buoys,532923,b,u,o,y,s
kasha,91777,k,a,s,h,a
vulns,115018,v,u,l,n,s
taxol,164459,t,a,x,o,l
roans,28190,r,o,a,n,s
prier,20417,p,r,i,e,r
brigs,24912,b,r,i,g,s
comfy,1245404,c,o,m,f,y
frise,203691,f,r,i,s,e
reran,21130,r,e,r,a,n
round,61836702,r,o,u,n,d
humic,156383,h,u,m,i,c
yells,407816,y,e,l,l,s
paler,152772,p,a,l,e,r
panni,17978,p,a,n,n,i
roger,15353411,r,o,g,e,r
fixes,7513516,f,i,x,e,s
false,33476460,f,a,l,s,e
inner,17552078,i,n,n,e,r
reman,169056,r,e,m,a,n
tuxes,140219,t,u,x,e,s
itchy,1181967,i,t,c,h,y
manga,12774174,m,a,n,g,a
looms,908800,l,o,o,m,s
mucic,65598,m,u,c,i,c
nuked,136859,n,u,k,e,d
throw,15751985,t,h,r,o,w
fawns,74673,f,a,w,n,s
kalis,34525,k,a,l,i,s
globs,76001,g,l,o,b,s
finks,30098,f,i,n,k,s
loral,154870,l,o,r,a,l
holey,85208,h,o,l,e,y
dally,142954,d,a,l,l,y
kells,251349,k,e,l,l,s
hairy,19060619,h,a,i,r,y
nisse,38233,n,i,s,s,e
vague,2783775,v,a,g,u,e
kinin,22149,k,i,n,i,n
moyle,166237,m,o,y,l,e
flume,173970,f,l,u,m,e
malwa,24347,m,a,l,w,a
bells,4743841,b,e,l,l,s
muley,18053,m,u,l,e,y
havoc,1692191,h,a,v,o,c
speel,50603,s,p,e,e,l
naive,1848489,n,a,i,v,e
stems,3336905,s,t,e,m,s
color,112965658,c,o,l,o,r
wilds,333381,w,i,l,d,s
lycee,32303,l,y,c,e,e
senti,56703,s,e,n,t,i
foxes,801589,f,o,x,e,s
aegis,1349788,a,e,g,i,s
casks,177165,c,a,s,k,s
gauzy,43269,g,a,u,z,y
rifts,209369,r,i,f,t,s
decry,203238,d,e,c,r,y
trike,446953,t,r,i,k,e
waded,156095,w,a,d,e,d
lurks,268163,l,u,r,k,s
judas,1224674,j,u,d,a,s
audio,127014703,a,u,d,i,o
nudie,147669,n,u,d,i,e
slash,2935535,s,l,a,s,h
clues,2988321,c,l,u,e,s
melas,64255,m,e,l,a,s
cecal,43532,c,e,c,a,l
snell,767608,s,n,e,l,l
piles,1694029,p,i,l,e,s
flaps,1163036,f,l,a,p,s
skint,118519,s,k,i,n,t
lynes,44061,l,y,n,e,s
merge,5961585,m,e,r,g,e
degus,21755,d,e,g,u,s
rotan,72673,r,o,t,a,n
sedum,126177,s,e,d,u,m
paire,27597,p,a,i,r,e
zazen,81391,z,a,z,e,n
raven,4630541,r,a,v,e,n
shura,152118,s,h,u,r,a
dozes,17178,d,o,z,e,s
drape,484861,d,r,a,p,e
floes,47050,f,l,o,e,s
conus,401144,c,o,n,u,s
balas,68596,b,a,l,a,s
cloke,36907,c,l,o,k,e
pease,551869,p,e,a,s,e
stunk,76458,s,t,u,n,k
maggs,113889,m,a,g,g,s
maund,31677,m,a,u,n,d
prime,38308402,p,r,i,m,e
nidal,72762,n,i,d,a,l
debut,7220643,d,e,b,u,t
apers,39349,a,p,e,r,s
chums,223080,c,h,u,m,s
spacy,39233,s,p,a,c,y
altos,1143776,a,l,t,o,s
timed,2978189,t,i,m,e,d
matai,39476,m,a,t,a,i
tooms,41882,t,o,o,m,s
nikau,16356,n,i,k,a,u
dunce,112570,d,u,n,c,e
talls,43808,t,a,l,l,s
gadis,77158,g,a,d,i,s
miser,222219,m,i,s,e,r
heald,305244,h,e,a,l,d
where,360468339,w,h,e,r,e
group,321842984,g,r,o,u,p
linac,331196,l,i,n,a,c
lumen,710305,l,u,m,e,n
bails,149105,b,a,i,l,s
nanny,3025474,n,a,n,n,y
winns,46583,w,i,n,n,s
pumps,9456489,p,u,m,p,s
sleep,29491537,s,l,e,e,p
agony,1543205,a,g,o,n,y
makar,59116,m,a,k,a,r
cares,4757269,c,a,r,e,s
zones,9719114,z,o,n,e,s
boody,29996,b,o,o,d,y
squaw,463592,s,q,u,a,w
auris,34496,a,u,r,i,s
lovie,83464,l,o,v,i,e
wushu,181964,w,u,s,h,u
blank,18150537,b,l,a,n,k
allay,203474,a,l,l,a,y
soars,465187,s,o,a,r,s
piano,19419956,p,i,a,n,o
obole,13322,o,b,o,l,e
pubic,923627,p,u,b,i,c
snake,7606395,s,n,a,k,e
snide,238032,s,n,i,d,e
lanky,146488,l,a,n,k,y
covey,720367,c,o,v,e,y
sonic,7298920,s,o,n,i,c
cants,41309,c,a,n,t,s
vetch,150281,v,e,t,c,h
cesse,19821,c,e,s,s,e
chich,23184,c,h,i,c,h
widen,1178278,w,i,d,e,n
axion,276049,a,x,i,o,n
molls,15283,m,o,l,l,s
aimed,10030370,a,i,m,e,d
abaya,84401,a,b,a,y,a
pumas,152053,p,u,m,a,s
totem,955271,t,o,t,e,m
mould,1479845,m,o,u,l,d
fudge,1969555,f,u,d,g,e
serif,2109334,s,e,r,i,f
cooly,60526,c,o,o,l,y
tulle,336799,t,u,l,l,e
aioli,84769,a,i,o,l,i
corse,400005,c,o,r,s,e
delos,243468,d,e,l,o,s
joins,5578553,j,o,i,n,s
fused,1359038,f,u,s,e,d
bloat,315923,b,l,o,a,t
carts,3559795,c,a,r,t,s
coste,121681,c,o,s,t,e
wheen,28391,w,h,e,e,n
optic,4558869,o,p,t,i,c
veers,119882,v,e,e,r,s
causa,249786,c,a,u,s,a
doggy,1048362,d,o,g,g,y
borax,172497,b,o,r,a,x
gouge,240551,g,o,u,g,e
minus,7025364,m,i,n,u,s
crudo,30151,c,r,u,d,o
mulls,225977,m,u,l,l,s
oaths,483079,o,a,t,h,s
ruble,265028,r,u,b,l,e
chana,172039,c,h,a,n,a
drool,539170,d,r,o,o,l
bidis,31810,b,i,d,i,s
bairn,34786,b,a,i,r,n
agile,1808955,a,g,i,l,e
fumed,109154,f,u,m,e,d
speir,23387,s,p,e,i,r
curse,3982181,c,u,r,s,e
cusps,86926,c,u,s,p,s
plays,21753930,p,l,a,y,s
sleet,305148,s,l,e,e,t
blind,16485480,b,l,i,n,d
brise,35611,b,r,i,s,e
munge,50488,m,u,n,g,e
coset,87359,c,o,s,e,t
linen,4960413,l,i,n,e,n
chord,3123447,c,h,o,r,d
stubs,1076600,s,t,u,b,s
prang,64943,p,r,a,n,g
liard,43929,l,i,a,r,d
craps,5943974,c,r,a,p,s
harts,131060,h,a,r,t,s
caple,153600,c,a,p,l,e
fusee,41659,f,u,s,e,e
wench,310447,w,e,n,c,h
foxed,54921,f,o,x,e,d
agree,47500911,a,g,r,e,e
scape,358228,s,c,a,p,e
kilos,355739,k,i,l,o,s
lifer,124674,l,i,f,e,r
china,124472054,c,h,i,n,a
stalk,936028,s,t,a,l,k
fonts,11884559,f,o,n,t,s
rioja,337348,r,i,o,j,a
prove,16046788,p,r,o,v,e
chews,765973,c,h,e,w,s
radix,520001,r,a,d,i,x
guyot,92473,g,u,y,o,t
bourg,219928,b,o,u,r,g
login,144200144,l,o,g,i,n
nates,122231,n,a,t,e,s
rotch,17632,r,o,t,c,h
salse,14186,s,a,l,s,e
samey,19085,s,a,m,e,y
frist,1284684,f,r,i,s,t
vertu,363403,v,e,r,t,u
arise,8337093,a,r,i,s,e
opals,261351,o,p,a,l,s
chewy,412145,c,h,e,w,y
withe,72784,w,i,t,h,e
vents,1493908,v,e,n,t,s
dough,3032657,d,o,u,g,h
teeny,750932,t,e,e,n,y
sawed,169894,s,a,w,e,d
hasty,700024,h,a,s,t,y
liang,854892,l,i,a,n,g
tamed,239956,t,a,m,e,d
blurs,268623,b,l,u,r,s
coups,234254,c,o,u,p,s
benet,226135,b,e,n,e,t
ender,568591,e,n,d,e,r
bikes,10740880,b,i,k,e,s
veena,106744,v,e,e,n,a
amici,498099,a,m,i,c,i
filet,550472,f,i,l,e,t
choco,233557,c,h,o,c,o
terai,72849,t,e,r,a,i
trill,172713,t,r,i,l,l
maxim,3820484,m,a,x,i,m
aline,267309,a,l,i,n,e
buffs,614179,b,u,f,f,s
tuple,1376804,t,u,p,l,e
layed,241694,l,a,y,e,d
dixit,322848,d,i,x,i,t
shiso,25086,s,h,i,s,o
rakes,396996,r,a,k,e,s
merry,6367037,m,e,r,r,y
duppy,14299,d,u,p,p,y
drips,303778,d,r,i,p,s
brake,9321885,b,r,a,k,e
privy,742055,p,r,i,v,y
beaut,160328,b,e,a,u,t
first,578161543,f,i,r,s,t
vails,29331,v,a,i,l,s
jiggy,141701,j,i,g,g,y
kyrie,120056,k,y,r,i,e
arrow,11563142,a,r,r,o,w
pimps,464373,p,i,m,p,s
teles,53095,t,e,l,e,s
toxic,9065369,t,o,x,i,c
indri,58805,i,n,d,r,i
ileum,178356,i,l,e,u,m
motes,120668,m,o,t,e,s
polly,2268880,p,o,l,l,y
hefty,905281,h,e,f,t,y
witch,6671560,w,i,t,c,h
wirra,19577,w,i,r,r,a
clone,9284578,c,l,o,n,e
gault,215308,g,a,u,l,t
warns,2775722,w,a,r,n,s
tikis,19390,t,i,k,i,s
tuner,6238319,t,u,n,e,r
alpha,27832836,a,l,p,h,a
rasta,515109,r,a,s,t,a
matza,32856,m,a,t,z,a
truss,1484384,t,r,u,s,s
kesar,22533,k,e,s,a,r
hoise,37918,h,o,i,s,e
mokes,29259,m,o,k,e,s
sings,2723225,s,i,n,g,s
sipes,60829,s,i,p,e,s
sayed,232940,s,a,y,e,d
lease,17180592,l,e,a,s,e
shote,36612,s,h,o,t,e
kazoo,133068,k,a,z,o,o
julep,93700,j,u,l,e,p
dotes,31347,d,o,t,e,s
sassy,1657970,s,a,s,s,y
hurra,46164,h,u,r,r,a
grief,4552843,g,r,i,e,f
antes,472677,a,n,t,e,s
plier,260940,p,l,i,e,r
foods,21150689,f,o,o,d,s
blini,19794,b,l,i,n,i
sigla,38984,s,i,g,l,a
rolls,9220414,r,o,l,l,s
taped,1534342,t,a,p,e,d
murre,43380,m,u,r,r,e
bitch,8302447,b,i,t,c,h
purls,37194,p,u,r,l,s
lodge,21541130,l,o,d,g,e
alkyl,637228,a,l,k,y,l
dregs,175993,d,r,e,g,s
dropt,16010,d,r,o,p,t
taler,42377,t,a,l,e,r
aking,105864,a,k,i,n,g
tummy,1685130,t,u,m,m,y
maser,177541,m,a,s,e,r
doles,76967,d,o,l,e,s
clasp,1354393,c,l,a,s,p
limba,245623,l,i,m,b,a
pokes,279744,p,o,k,e,s
tangy,333638,t,a,n,g,y
centu,31561,c,e,n,t,u
neigh,211412,n,e,i,g,h
cable,70082598,c,a,b,l,e
cites,3151464,c,i,t,e,s
cigar,3993843,c,i,g,a,r
parks,25974927,p,a,r,k,s
humid,1026485,h,u,m,i,d
negro,2489080,n,e,g,r,o
fjord,387543,f,j,o,r,d
clits,1037485,c,l,i,t,s
sects,603808,s,e,c,t,s
verso,788583,v,e,r,s,o
ranee,20233,r,a,n,e,e
leach,1516929,l,e,a,c,h
fetus,1744267,f,e,t,u,s
inept,458533,i,n,e,p,t
kamik,164880,k,a,m,i,k
embed,1217930,e,m,b,e,d
curst,13364,c,u,r,s,t
dinna,41912,d,i,n,n,a
avian,2877167,a,v,i,a,n
coley,233644,c,o,l,e,y
celli,66365,c,e,l,l,i
glues,428787,g,l,u,e,s
muted,693571,m,u,t,e,d
flexo,176393,f,l,e,x,o
volar,49012,v,o,l,a,r
ceili,82339,c,e,i,l,i
weepy,66392,w,e,e,p,y
sloot,57272,s,l,o,o,t
libra,1165757,l,i,b,r,a
soggy,331525,s,o,g,g,y
froth,278469,f,r,o,t,h
ghast,159837,g,h,a,s,t
grody,14446,g,r,o,d,y
coxed,32256,c,o,x,e,d
liken,132264,l,i,k,e,n
gavel,352668,g,a,v,e,l
kirks,58558,k,i,r,k,s
surer,73497,s,u,r,e,r
olive,9298184,o,l,i,v,e
waste,41089558,w,a,s,t,e
menta,42660,m,e,n,t,a
unset,1035406,u,n,s,e,t
sware,57104,s,w,a,r,e
phare,320138,p,h,a,r,e
sites,202755734,s,i,t,e,s
erven,23279,e,r,v,e,n
sudsy,39819,s,u,d,s,y
garbs,37010,g,a,r,b,s
soken,18213,s,o,k,e,n
aides,1614522,a,i,d,e,s
bulge,881613,b,u,l,g,e
outro,362765,o,u,t,r,o
ruler,2615554,r,u,l,e,r
genoa,1548016,g,e,n,o,a
wised,27775,w,i,s,e,d
gapes,90458,g,a,p,e,s
radii,575939,r,a,d,i,i
grees,31089,g,r,e,e,s
bongs,415527,b,o,n,g,s
think,217856550,t,h,i,n,k
tense,2320926,t,e,n,s,e
geode,166060,g,e,o,d,e
khans,38869,k,h,a,n,s
guess,28743465,g,u,e,s,s
snail,1580640,s,n,a,i,l
refit,197564,r,e,f,i,t
likes,9727733,l,i,k,e,s
stile,353280,s,t,i,l,e
devos,131748,d,e,v,o,s
parer,38034,p,a,r,e,r
spams,323676,s,p,a,m,s
towse,19451,t,o,w,s,e
fiber,15530318,f,i,b,e,r
seres,54684,s,e,r,e,s
prune,688443,p,r,u,n,e
karas,292764,k,a,r,a,s
marks,19747824,m,a,r,k,s
prise,322565,p,r,i,s,e
sepoy,33499,s,e,p,o,y
elain,17472,e,l,a,i,n
ippon,35894,i,p,p,o,n
pipet,151087,p,i,p,e,t
seamy,35034,s,e,a,m,y
annas,115640,a,n,n,a,s
stale,1065657,s,t,a,l,e
dogan,78198,d,o,g,a,n
viola,2458792,v,i,o,l,a
cobby,14436,c,o,b,b,y
faked,444208,f,a,k,e,d
longe,87659,l,o,n,g,e
vives,117594,v,i,v,e,s
dumka,16420,d,u,m,k,a
tates,170224,t,a,t,e,s
tikes,696108,t,i,k,e,s
steak,4413680,s,t,e,a,k
vigor,977544,v,i,g,o,r
lippy,49972,l,i,p,p,y
punny,26860,p,u,n,n,y
golpe,47267,g,o,l,p,e
surly,372213,s,u,r,l,y
nulls,182242,n,u,l,l,s
laser,34080740,l,a,s,e,r
laree,27813,l,a,r,e,e
egret,394773,e,g,r,e,t
sluit,24797,s,l,u,i,t
gamme,116430,g,a,m,m,e
piney,394672,p,i,n,e,y
paint,21926890,p,a,i,n,t
solei,16449,s,o,l,e,i
boras,65124,b,o,r,a,s
lambs,1339048,l,a,m,b,s
blade,11527988,b,l,a,d,e
reedy,316918,r,e,e,d,y
vinos,110986,v,i,n,o,s
stane,45697,s,t,a,n,e
scops,39159,s,c,o,p,s
milty,28755,m,i,l,t,y
lunge,199129,l,u,n,g,e
copay,251088,c,o,p,a,y
perts,24257,p,e,r,t,s
virga,40140,v,i,r,g,a
rungs,173503,r,u,n,g,s
stele,76134,s,t,e,l,e
flack,408860,f,l,a,c,k
tonic,1393402,t,o,n,i,c
fists,979557,f,i,s,t,s
caked,91635,c,a,k,e,d
camps,11712039,c,a,m,p,s
fubar,171893,f,u,b,a,r
eject,935010,e,j,e,c,t
gilds,15396,g,i,l,d,s
womyn,117085,w,o,m,y,n
playa,3723548,p,l,a,y,a
wafer,1554217,w,a,f,e,r
marvy,53009,m,a,r,v,y
dimer,455104,d,i,m,e,r
seans,14788,s,e,a,n,s
lodes,17287,l,o,d,e,s
cooky,32767,c,o,o,k,y
navvy,18939,n,a,v,v,y
laika,190917,l,a,i,k,a
yogic,139187,y,o,g,i,c
wacky,1861879,w,a,c,k,y
motty,18153,m,o,t,t,y
pampa,226170,p,a,m,p,a
alone,39326417,a,l,o,n,e
fucks,3058134,f,u,c,k,s
volta,957170,v,o,l,t,a
penes,92434,p,e,n,e,s
craig,13480763,c,r,a,i,g
ivory,7146685,i,v,o,r,y
shags,41829,s,h,a,g,s
fifth,16255266,f,i,f,t,h
birds,19693729,b,i,r,d,s
wills,4376548,w,i,l,l,s
bawls,57450,b,a,w,l,s
crimp,640746,c,r,i,m,p
trams,558296,t,r,a,m,s
skort,98916,s,k,o,r,t
taluk,55706,t,a,l,u,k
lieve,98611,l,i,e,v,e
barby,70276,b,a,r,b,y
fards,61736,f,a,r,d,s
serfs,117599,s,e,r,f,s
flour,5162842,f,l,o,u,r
sewed,175012,s,e,w,e,d
fuzes,14886,f,u,z,e,s
cowry,23397,c,o,w,r,y
romeo,4990395,r,o,m,e,o
pitot,98586,p,i,t,o,t
ixora,14315,i,x,o,r,a
yates,1980900,y,a,t,e,s
bungs,45792,b,u,n,g,s
ochre,293192,o,c,h,r,e
brava,741156,b,r,a,v,a
dance,51147967,d,a,n,c,e
kitty,6414935,k,i,t,t,y
odium,50950,o,d,i,u,m
fatal,6779744,f,a,t,a,l
feels,12212683,f,e,e,l,s
ruffs,35928,r,u,f,f,s
wight,2190271,w,i,g,h,t
doper,13398,d,o,p,e,r
coble,187245,c,o,b,l,e
pling,103860,p,l,i,n,g
alack,38913,a,l,a,c,k
felty,28295,f,e,l,t,y
ruled,5589851,r,u,l,e,d
junta,629394,j,u,n,t,a
lares,66326,l,a,r,e,s
skank,227091,s,k,a,n,k
tushy,174958,t,u,s,h,y
igloo,397625,i,g,l,o,o
stott,438727,s,t,o,t,t
swire,100466,s,w,i,r,e
wreck,2447935,w,r,e,c,k
dover,5683356,d,o,v,e,r
pilaf,148512,p,i,l,a,f
lames,23839,l,a,m,e,s
piker,69323,p,i,k,e,r
breed,7716901,b,r,e,e,d
geist,415207,g,e,i,s,t
aggie,616732,a,g,g,i,e
kabar,59750,k,a,b,a,r
coped,171985,c,o,p,e,d
wiles,347101,w,i,l,e,s
divas,1047835,d,i,v,a,s
pooka,49363,p,o,o,k,a
inapt,16009,i,n,a,p,t
natal,3010028,n,a,t,a,l
files,125524478,f,i,l,e,s
roves,21191,r,o,v,e,s
snead,175337,s,n,e,a,d
noels,34012,n,o,e,l,s
tower,20686918,t,o,w,e,r
grego,41299,g,r,e,g,o
drome,145557,d,r,o,m,e
didst,335242,d,i,d,s,t
juror,837876,j,u,r,o,r
lemma,4623172,l,e,m,m,a
smuts,84644,s,m,u,t,s
tares,71332,t,a,r,e,s
ceiba,139880,c,e,i,b,a
becke,33592,b,e,c,k,e
shaya,39577,s,h,a,y,a
breds,15322,b,r,e,d,s
frack,25385,f,r,a,c,k
nocks,24367,n,o,c,k,s
bogie,180493,b,o,g,i,e
adorn,464591,a,d,o,r,n
exert,1109622,e,x,e,r,t
delta,28051872,d,e,l,t,a
shads,19622,s,h,a,d,s
scare,2972708,s,c,a,r,e
erase,3086642,e,r,a,s,e
halwa,25564,h,a,l,w,a
folia,169908,f,o,l,i,a
frost,5940685,f,r,o,s,t
parry,1371591,p,a,r,r,y
vodun,12829,v,o,d,u,n
aulos,26850,a,u,l,o,s
frock,185379,f,r,o,c,k
rails,4364886,r,a,i,l,s
leers,22432,l,e,e,r,s
monos,123186,m,o,n,o,s
batty,416010,b,a,t,t,y
barre,1839524,b,a,r,r,e
numbs,33408,n,u,m,b,s
kills,6484339,k,i,l,l,s
stack,11090579,s,t,a,c,k
tutti,1025839,t,u,t,t,i
rondo,332097,r,o,n,d,o
